source	lang_label_ga	function	phrase_raw	phrase_native	phrase_translit	slots_count_est	needs_manual_normalization
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Afracáinis	morning	Goeie môre Goeie middag Goeie naand Goeie nag Hallo		Goeie môre Goeie middag Goeie naand Goeie nag Hallo	1	True
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Albáinis	morning	Mirëmëngjes Mirëdita Mirëmbrëma Natën e mirë Mirëdita		Mirëmëngjes Mirëdita Mirëmbrëma Natën e mirë Mirëdita	1	True
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Araibis	morning	Sabah el kheir		Sabah el kheir	5	True
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Araibis	afternoon	صَباح الخير Sabah el kheir	صَباح الخير Sabah el kheir		5	False
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Araibis	evening	صَباح الخير Massa el kheir	صَباح الخير Massa el kheir		5	False
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Araibis	night	مَساء الخير Layla saida	مَساء الخير Layla saida		5	False
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Araibis	hello	لَيْلة سَعيدة Salam	↑ Gambhir، Vijay (1996). The Teaching and Acquisition of South Asian Languages. دار نشر جامعة بنسلفانيا [لغات أخرى]‏. ص. 87. ISBN:0-8122-3328-X. مؤرشف من الأصل في 2017-04-21.{{استشهاد بكتاب}}: صيانة الاستشهاد: علامات ترقيم زائدة (link)		5	False
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Bascais	morning	Egun on Arratsalde on Arratsalde on Gabon Kaixo		Egun on Arratsalde on Arratsalde on Gabon Kaixo	1	True
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Béarla	morning	Good morning Good afternoon Good evening Good night Hello / Hi		Good morning Good afternoon Good evening Good night Hello / Hi	1	True
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Bisaya	morning	Maayong buntag Maayong ablaw Maayong gabii		Maayong buntag Maayong ablaw Maayong gabii	1	True
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Boisnis	morning	Dobro jutro Dobar dan Dobro vece Lahku noc Zdravo		Dobro jutro Dobar dan Dobro vece Lahku noc Zdravo	1	True
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Breatnais	morning	Bore da Prynhawn da Noswaith da Nos da Hylo		Bore da Prynhawn da Noswaith da Nos da Hylo	1	True
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Briotáinis	morning	Demad / (de)boñjour (dit/deoc'h) / Mad ar jeu ? ... Devezh mad / (de)boñjour (dit/deoc'h) / Mad ar jeu ? ... Noz vad (dit/deoc'h) Nozvezh vad (dit/deoc'h) Salud (dit/deoc'h)		Demad / (de)boñjour (dit / deoc'h) / Mad ar jeu ? ... Devezh mad / (de)boñjour (dit / deoc'h) / Mad ar jeu ? ... Noz vad (dit / deoc'h) Nozvezh vad (dit / deoc'h) Salud (dit / deoc'h)	1	True
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Bulgáiris	morning	Dobro utro Dobar den Dobar vetcher Leka nocht Zdravei		Dobro utro Dobar den Dobar vetcher Leka nocht Zdravei	1	True
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Catalóinis	morning	Bon dia Bona tarda Bon vespre Bona nit Hola		Bon dia Bona tarda Bon vespre Bona nit Hola	1	True
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Comórais	morning	Barza asubwihi		Barza asubwihi	5	True
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Comórais	afternoon	صَباح الخير Barza mtsana	صَباح الخير Barza mtsana		5	False
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Comórais	evening	صَباح الخير Barza uku	صَباح الخير Barza uku		5	False
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Comórais	night	مَساء الخير Lala unono	مَساء الخير Lala unono		5	False
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Comórais	hello	لَيْلة سَعيدة Jeje	لَيْلة سَعيدة Jeje		5	False
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Cóiréis	morning	Annyông haseyo		Annyông haseyo	5	True
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Cóiréis	afternoon	안녕하세요 Annyông haseyo	안녕하세요 Annyông haseyo		5	False
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Cóiréis	evening	안녕하세요 Annyông haseyo	안녕하세요 Annyông haseyo		5	False
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Cóiréis	night	안녕하세요 Annyông hijumuseyo	안녕하세요 Annyông hijumuseyo		5	False
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Cóiréis	hello	안녕히주무세요 Annyông	중국어: 你好 니하오[*]		5	False
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Corsaicis	morning	Bonghjornu       Salutu		Bonghjornu       Salutu	1	True
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Cróitis	morning	Dobro jutro Dobar dan Dobra vece Laku noc Zdravo		Dobro jutro Dobar dan Dobra vece Laku noc Zdravo	1	True
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Danmhairgis	morning	God morgen Goddag God aften God nat		God morgen Goddag God aften God nat	1	True
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Eabhrais	morning	Boker tov		Boker tov	5	True
